# loc_census.csv — subtask 001 LOC baseline (wc -l semantics; git-tracked files only)
# command: python docs/refactoring/reports/_capture_baseline.py
# git_sha=2a20bd94a06abb6013e2e85be92f978caa916df2 python=3.13.2 generated_utc=2026-07-01T10:56:11Z
# cohorts: core-prod (ari-core/ari), core-test (ari-core/tests), skill:<name> (ari-skill-*/src), frontend (viz/frontend/src ts,tsx)
# band: warn>500 review>800 split>1200 (RECORDED, not enforced here)
path,loc,cohort,band
ari-core/ari/publish/backends/zenodo.py,139,core-prod,-
ari-core/ari/registry/__init__.py,49,core-prod,-
ari-core/ari/registry/app.py,150,core-prod,-
ari-core/ari/registry/auth.py,93,core-prod,-
ari-core/ari/registry/cli.py,74,core-prod,-
ari-core/ari/registry/storage.py,145,core-prod,-
ari-core/ari/schemas/__init__.py,20,core-prod,-
ari-core/ari/viz/__init__.py,28,core-prod,-
ari-core/ari/viz/api_experiment.py,929,core-prod,review
ari-core/ari/viz/api_fewshot.py,221,core-prod,-
ari-core/ari/viz/api_memory.py,227,core-prod,-
ari-core/ari/viz/api_ollama.py,90,core-prod,-
ari-core/ari/viz/api_orchestrator.py,321,core-prod,-
ari-core/ari/viz/api_paperbench.py,813,core-prod,review
ari-core/ari/viz/api_paperbench_worker.py,319,core-prod,-
ari-core/ari/viz/api_process.py,205,core-prod,-
ari-core/ari/viz/api_publish.py,191,core-prod,-
ari-core/ari/viz/api_settings.py,553,core-prod,warn
ari-core/ari/viz/api_state.py,76,core-prod,-
ari-core/ari/viz/api_tools.py,259,core-prod,-
ari-core/ari/viz/api_wizard.py,35,core-prod,-
ari-core/ari/viz/api_workflow.py,462,core-prod,-
ari-core/ari/viz/checkpoint_api.py,327,core-prod,-
ari-core/ari/viz/checkpoint_finder.py,65,core-prod,-
ari-core/ari/viz/checkpoint_lifecycle.py,205,core-prod,-
ari-core/ari/viz/ear.py,452,core-prod,-
ari-core/ari/viz/file_api.py,307,core-prod,-
ari-core/ari/viz/node_work_api.py,233,core-prod,-
ari-core/ari/viz/routes.py,1197,core-prod,review
ari-core/ari/viz/server.py,201,core-prod,-
ari-core/ari/viz/state.py,79,core-prod,-
ari-core/ari/viz/state_sync.py,117,core-prod,-
ari-core/ari/viz/ui_helpers.py,183,core-prod,-
ari-core/ari/viz/websocket.py,36,core-prod,-
ari-core/tests/test_agent_smoke.py,241,core-test,-
ari-core/tests/test_api_lineage_decisions.py,190,core-test,-
ari-core/tests/test_api_lineage_e2e.py,149,core-test,-
ari-core/tests/test_api_paperbench.py,536,core-test,warn
ari-core/tests/test_api_paperbench_worker.py,212,core-test,-
ari-core/tests/test_api_process.py,115,core-test,-
ari-core/tests/test_api_schema_contract.py,108,core-test,-
ari-core/tests/test_bfts.py,559,core-test,warn
ari-core/tests/test_bfts_allow_web.py,145,core-test,-
ari-core/tests/test_bfts_diversity.py,418,core-test,-
ari-core/tests/test_bfts_eval_config_integration.py,260,core-test,-
ari-core/tests/test_bfts_frontier_score.py,87,core-test,-
ari-core/tests/test_bfts_prompt_selection.py,72,core-test,-
ari-core/tests/test_checkpoint_legacy_tree.py,79,core-test,-
ari-core/tests/test_child_node_workflow.py,444,core-test,-
ari-core/tests/test_child_workdir_inherit.py,212,core-test,-
ari-core/tests/test_claim_evidence_hard_gate.py,324,core-test,-
ari-core/tests/test_claim_gate_contract.py,420,core-test,-
ari-core/tests/test_claim_gate_invariants.py,143,core-test,-
ari-core/tests/test_cli.py,190,core-test,-
ari-core/tests/test_cli_extended.py,189,core-test,-
ari-core/tests/test_cli_shim_toolcalls.py,419,core-test,-
ari-core/tests/test_clone.py,202,core-test,-
ari-core/tests/test_config.py,448,core-test,-
ari-core/tests/test_container.py,560,core-test,warn
ari-core/tests/test_cost_tracker.py,802,core-test,review
ari-core/tests/test_curate.py,283,core-test,-
ari-core/tests/test_dashboard_html.py,71,core-test,-
ari-core/tests/test_data_flow.py,358,core-test,-
ari-core/tests/test_default_provider.py,749,core-test,warn
ari-core/tests/test_delete_checkpoint_experiments.py,215,core-test,-
ari-core/tests/test_disabled_tools_flow.py,133,core-test,-
ari-core/tests/test_dynamic_axes.py,584,core-test,warn
ari-core/tests/test_ear.py,803,core-test,review
ari-core/tests/test_env_write_quoting.py,72,core-test,-
ari-core/tests/test_evaluator_axis_mode.py,48,core-test,-
ari-core/tests/test_evaluator_composite.py,102,core-test,-
ari-core/tests/test_event_loop_and_csv.py,402,core-test,-
ari-core/tests/test_file_explorer.py,504,core-test,warn
ari-core/tests/test_gui_env_propagation.py,339,core-test,-
ari-core/tests/test_gui_errors.py,1650,core-test,split
ari-core/tests/test_i18n_consistency.py,135,core-test,-
ari-core/tests/test_idea_integration.py,380,core-test,-
ari-core/tests/test_include_ear_toggle.py,327,core-test,-
ari-core/tests/test_integration.py,345,core-test,-
ari-core/tests/test_laptop_hpc_skill_drop.py,208,core-test,-
ari-core/tests/test_launch_config.py,747,core-test,warn
ari-core/tests/test_letta_restart_live.py,204,core-test,-
ari-core/tests/test_letta_start_scripts.py,192,core-test,-
ari-core/tests/test_lineage_and_inherit.py,398,core-test,-
ari-core/tests/test_lineage_decision.py,422,core-test,-
ari-core/tests/test_lineage_decision_persistence.py,246,core-test,-
ari-core/tests/test_llm.py,188,core-test,-
ari-core/tests/test_llm_evaluator_axes.py,169,core-test,-
ari-core/tests/test_llm_routing.py,133,core-test,-
ari-core/tests/test_loop_message_order.py,87,core-test,-
ari-core/tests/test_max_react_passthrough.py,636,core-test,warn
ari-core/tests/test_mcp_cow_concurrency.py,142,core-test,-
ari-core/tests/test_memory.py,43,core-test,-
ari-core/tests/test_metric_contract_obligation.py,274,core-test,-
ari-core/tests/test_model_passthrough.py,846,core-test,review
ari-core/tests/test_no_user_home_writes.py,57,core-test,-
ari-core/tests/test_node.py,88,core-test,-
ari-core/tests/test_node_report.py,366,core-test,-
ari-core/tests/test_node_selection.py,331,core-test,-
ari-core/tests/test_nodes_to_science_data_shrink.py,251,core-test,-
ari-core/tests/test_ollama_gpu.py,454,core-test,-
ari-core/tests/test_orchestrator.py,652,core-test,warn
ari-core/tests/test_page_requirements.py,244,core-test,-
ari-core/tests/test_paths.py,371,core-test,-
ari-core/tests/test_pidfile.py,186,core-test,-
ari-core/tests/test_pipeline_e2e.py,1010,core-test,review
ari-core/tests/test_pipeline_metric_parsing.py,55,core-test,-
ari-core/tests/test_pipeline_verified_context.py,116,core-test,-
ari-core/tests/test_plan_promote.py,271,core-test,-
ari-core/tests/test_prompt_extraction.py,107,core-test,-
ari-core/tests/test_public_api_boundary.py,126,core-test,-
ari-core/tests/test_publish_and_registry.py,347,core-test,-
ari-core/tests/test_publish_yaml_api.py,122,core-test,-
ari-core/tests/test_publish_zenodo_gh.py,256,core-test,-
ari-core/tests/test_react_driver.py,256,core-test,-
ari-core/tests/test_resolve_node_work_dir.py,79,core-test,-
ari-core/tests/test_retrieval_backend.py,183,core-test,-
ari-core/tests/test_root_idea_selector.py,239,core-test,-
ari-core/tests/test_run_env.py,150,core-test,-
ari-core/tests/test_run_loop.py,376,core-test,-
ari-core/tests/test_sandbox_shim.py,274,core-test,-
ari-core/tests/test_selection_contract.py,157,core-test,-
ari-core/tests/test_server.py,1844,core-test,split
ari-core/tests/test_settings_propagation.py,1058,core-test,review
ari-core/tests/test_settings_roundtrip.py,742,core-test,warn
ari-core/tests/test_setup_env.py,262,core-test,-
ari-core/tests/test_skill_public_contract.py,117,core-test,-
ari-core/tests/test_status_fallback.py,173,core-test,-
ari-core/tests/test_system_prompt_memory.py,49,core-test,-
ari-core/tests/test_tool_timeout_tier.py,34,core-test,-
ari-core/tests/test_trace_log_truncation.py,92,core-test,-
ari-core/tests/test_upload_to_node.py,759,core-test,warn
ari-core/tests/test_variable_passthrough.py,534,core-test,warn
ari-core/tests/test_verified_context_wiring.py,94,core-test,-
ari-core/tests/test_virsci_off.py,219,core-test,-
ari-core/tests/test_viz_fewshot_api.py,194,core-test,-
ari-core/tests/test_viz_memory_api.py,78,core-test,-
ari-core/tests/test_viz_node_report_api.py,57,core-test,-
ari-core/tests/test_viz_repro_synth.py,218,core-test,-
ari-core/tests/test_wizard.py,1133,core-test,review
ari-core/tests/test_workflow_contract.py,1606,core-test,split
ari-core/tests/test_workflow_editor.py,820,core-test,review
ari-core/tests/test_workflow_template_resolution.py,62,core-test,-
ari-core/tests/test_working_context_injection.py,315,core-test,-
ari-core/ari/viz/frontend/src/App.tsx,94,frontend,-
ari-core/ari/viz/frontend/src/components/Experiments/ExperimentsPage.tsx,189,frontend,-
ari-core/ari/viz/frontend/src/components/Experiments/index.ts,1,frontend,-
ari-core/ari/viz/frontend/src/components/Home/HomePage.tsx,122,frontend,-
ari-core/ari/viz/frontend/src/components/Home/index.ts,1,frontend,-
ari-core/ari/viz/frontend/src/components/Idea/IdeaPage.tsx,478,frontend,-
ari-core/ari/viz/frontend/src/components/Idea/index.ts,1,frontend,-
ari-core/ari/viz/frontend/src/components/Layout/Layout.tsx,11,frontend,-
ari-core/ari/viz/frontend/src/components/Layout/Sidebar.tsx,191,frontend,-
ari-core/ari/viz/frontend/src/components/Layout/index.ts,2,frontend,-
ari-core/ari/viz/frontend/src/components/Monitor/GpuMonitor.tsx,129,frontend,-
ari-core/ari/viz/frontend/src/components/Monitor/MonitorPage.tsx,502,frontend,warn
ari-core/ari/viz/frontend/src/components/Monitor/PhaseStepper.tsx,113,frontend,-
ari-core/ari/viz/frontend/src/components/Monitor/index.ts,3,frontend,-
ari-core/ari/viz/frontend/src/components/Monitor/monitorSections.tsx,366,frontend,-
ari-core/ari/viz/frontend/src/components/PaperBench/PaperBenchWizard.tsx,412,frontend,-
ari-core/ari/viz/frontend/src/components/PaperBench/PaperImportDialog.tsx,254,frontend,-
ari-core/ari/viz/frontend/src/components/PaperBench/PaperRegistryPage.tsx,147,frontend,-
ari-core/ari/viz/frontend/src/components/PaperBench/__tests__/PaperBenchWizard.test.tsx,118,frontend,-
ari-core/ari/viz/frontend/src/components/PaperBench/__tests__/PaperImportDialog.test.tsx,138,frontend,-
ari-core/ari/viz/frontend/src/components/PaperBench/index.ts,4,frontend,-
ari-core/ari/viz/frontend/src/components/PaperBench/results/ResultsView.tsx,390,frontend,-
ari-core/ari/viz/frontend/src/components/Results/EarSection.tsx,439,frontend,-
ari-core/ari/viz/frontend/src/components/Results/PaperWorkspace.tsx,519,frontend,warn
ari-core/ari/viz/frontend/src/components/Results/PublishYamlEditor.tsx,162,frontend,-
ari-core/ari/viz/frontend/src/components/Results/ResultsPage.tsx,462,frontend,-
ari-core/ari/viz/frontend/src/components/Results/RubricTreeVisualization.tsx,462,frontend,-
ari-core/ari/viz/frontend/src/components/Results/index.ts,1,frontend,-
ari-core/ari/viz/frontend/src/components/Results/resultHelpers.ts,169,frontend,-
ari-core/ari/viz/frontend/src/components/Results/resultSections.tsx,1590,frontend,split
ari-core/ari/viz/frontend/src/components/Results/resultTypes.ts,31,frontend,-
ari-core/ari/viz/frontend/src/components/Results/useEAR.ts,38,frontend,-
ari-core/ari/viz/frontend/src/components/Settings/SettingsPage.tsx,1049,frontend,review
ari-core/ari/viz/frontend/src/components/Settings/index.ts,1,frontend,-
ari-core/ari/viz/frontend/src/components/Settings/settingsConstants.ts,86,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/DetailPanel.tsx,425,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/DetailPanelTabs/AccessTab.tsx,155,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/DetailPanelTabs/CodeTab.tsx,42,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/DetailPanelTabs/MemoryEntryCard.tsx,131,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/DetailPanelTabs/MemoryTab.tsx,113,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/DetailPanelTabs/ReportTab.tsx,126,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/DetailPanelTabs/TraceTab.tsx,57,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/FileExplorer.tsx,393,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/TreePage.tsx,206,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/TreeVisualization.tsx,366,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/detailPanelHelpers.ts,31,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/index.ts,4,frontend,-
ari-core/ari/viz/frontend/src/components/Tree/useDetailPanelData.ts,204,frontend,-
ari-core/ari/viz/frontend/src/components/Wizard/StepGoal.tsx,528,frontend,warn
ari-core/ari/viz/frontend/src/components/Wizard/StepLaunch.tsx,399,frontend,-
ari-core/ari/viz/frontend/src/components/Wizard/StepResources.tsx,1160,frontend,review
ari-core/ari/viz/frontend/src/components/Wizard/StepScope.tsx,424,frontend,-
ari-core/ari/viz/frontend/src/components/Wizard/WizardPage.tsx,352,frontend,-
ari-core/ari/viz/frontend/src/components/Wizard/index.ts,1,frontend,-
